gweventname	 SNR	SNRerrlo SNRerrhi 0.5Area 0.9Area Distance Disterrlo Disterrhi	f_cover	n_s	
GW191204_110529	 8.8    -0.6     0.4	  922	  3675	  1.8      -1.1      1.7	0.495	39638	
GW191204_171526	 17.5   -0.2     0.2	  79	  256	  0.65     -0.25     0.19	0.286	161	
GW191215_223052	 11.2   -0.4     0.3	  139	  586	  1.93     -0.86     0.89	0.297	2158	
GW191216_213338	 18.6   -0.2     0.2	  61	  206	  0.34     -0.13     0.12	0.592	59	
GW191219_163120	 9.1    -0.8     0.5	  nan	  nan	  0.55     -0.16     0.25	nan	7120	
GW191222_033537	 12.5   -0.3     0.2	  503	  2168	  3.0      -1.7      1.7	0.451	24418	
GW191230_180458	 10.4   -0.4     0.3	  302	  1086	  4.3      -1.9      2.1	0.187	17057	
GW200105_162426	 13.7   -0.4     0.2	  nan	  nan	  0.27     -0.11     0.12	nan	596309	
GW200112_155838	 19.8   -0.2     0.1	  550	  3200	  1.25     -0.46     0.43	0.486	8558	
GW200115_042309	 11.3   -0.5     0.3	  56	  388	  0.29     -0.10     0.15	nan	174	
GW200128_022011	 10.6   -0.4     0.3	  714	  2415	  3.4      -1.8      2.1	0.435	34995	
GW200129_065458	 26.8   -0.2     0.2	  6	  31	  0.90     -0.38     0.29	0.968	41	
GW200202_154313	 10.8   -0.4     0.2	  44	  150	  0.41     -0.16     0.15	0.886	295	
GW200208_130117	 10.8   -0.4     0.3	  9	  30	  2.23     -0.85     1.00	0.000	80	
GW200208_222617	 7.4    -1.2     1.4	  385	  2040	  4.1      -1.9      4.4	0.505	36630	
GW200209_085452	 9.6    -0.5     0.4	  217	  877	  3.4      -1.8      1.9	0.643	15681	
GW200210_092254	 8.4    -0.7     0.5	  290	  1388	  0.94     -0.34     0.43	0.473	5193	
GW200216_220804	 8.1    -0.5     0.4	  727	  2924	  3.8      -2.0      3.0	0.861	64883	
GW200219_094415	 10.7   -0.5     0.3	  88	  781	  3.4      -1.5      1.7	0.392	14993	
GW200220_061928	 7.2    -0.7     0.4	  1065	  4477	  6.0      -3.1      4.8	0.272	75639	
GW200220_124850	 8.5    -0.2     0.3	  855	  3129	  4.0      -2.2      2.8	0.500	65013	
GW200224_222234	 20.0   -0.2     0.2	  11	  42	  1.71     -0.64     0.49	0.000	178	
GW200225_060421	 12.5   -0.4     0.3	  150	  498	  1.15     -0.53     0.51	0.511	1125	
GW200302_015811	 10.8   -0.4     0.3	  1604	  6016	  1.48     -0.70     1.02	0.377	18761	
GW200306_093714	 7.8    -0.6     0.4	  965	  3907	  2.1      -1.1      1.7	0.524	35435	
GW200308_173609	 7.1    -0.5     0.5	  3671	  25292	  5.4      -2.6      2.7	0.400	596309	
GW200311_115853	 17.8   -0.2     0.2	  10	  35	  1.17     -0.40     0.28	0.821	81	
GW200316_215756	 10.3   -0.7     0.4	  12	  187	  1.12     -0.44     0.47	0.726	276	
GW200322_091133	 6.0    -1.2     1.7	  6250	  28703	  3.6      -2.0      7.0	0.475	596309	
